,file,title,words,chunks,pages,author,subject,keywords,producer,creator,created
0,pdfs/fpsyt-09-00116.pdf,Decision-Making in Suicidal Behavior: The Protective Role of Loss Aversion,8405,66,9,Gergö Hadlaczky,Background: Loss aversion is a central and well operationalized trait behavior that describes the tendency for humans to strongly prefer avoiding losses to making equivalent gains.,"loss aversion, decision-making, suicide, attempted, mental health, suicidal ideation",Adobe PDF Library 10.0.1,Adobe InDesign CS6 (Windows),D:20180331094507+05'30'
1,pdfs/1-s2.0-S0022437523001639-main.pdf,"A pilot study evaluating the preventive effects of platform-end lengthwise fencing on trespassing, person struck by train and traffic delays",6206,47,7,Johan Fredin-Knutzén,"Journal of Safety Research, 88 (2024) 78-84. doi:10.1016/j.jsr.2023.10.010","Suicide,Accident,Railway,Station,Platform-end lengthwise fencing",Acrobat Distiller 8.1.0 (Windows),Elsevier,D:20240312122711Z
2,pdfs/149.pdf,,5226,45,7,,,,Apogee Create Series3 v1.0,3B2 Total Publishing System 7.51n/W,D:20051222144342
3,pdfs/10.1177_14034948211000836.pdf,,4006,31,6,,,,Adobe PDF Library 9.9,Adobe InDesign CS5.5 (7.5),D:20220526144906+05'30'
4,pdfs/ten.tea.2009.0426.pdf,untitled,7240,61,10,,,,Acrobat Distiller 6.0 (Windows),3B2 Total Publishing System 7.51o/W,D:20100125114559+05'30'
5,pdfs/CD009990.pdf,,13893,138,34,,,,Apache FOP Version 2.5,Apache FOP Version 2.5,D:20230902070027Z
6,pdfs/ijerph-15-01698.pdf,"Comorbidity of Physical and Anxiety Symptoms in Adolescent: Functional Impairment, Self-Rated Health and Subjective Well-Being",6037,52,12,"Judit Balázs, Mónika Miklósi, Ágnes Keresztény, Christina W. Hoven, Vladimir Carli, Camilla Wasserman, Gergö Hadlaczky, Alan Apter, Julio Bobes, Romuald Brunner, Paul Corcoran, Doina Cosman, Christian Haring, Jean-Pierre Kahn, Vita Postuvan, Michael Kaess, Airi Varnik, Marco Sarchiapone and Danuta Wasserman","Physical disorders and anxiety are frequently comorbid. This study investigates the characteristics of physical disorders, self-rated heath, subjective well-being and anxiety in adolescents. Data were drawn from the Saving and Empowering Young Lives in Europe cohort study. From 11 countries 11,230 adolescents, aged 14–16 years were included. Zung Self-Rating Anxiety Scale (SAS), WHO-5 Well-Being Index and five questions prepared for this study to evaluate physical illnesses and self-rated heath were administered. Anxiety levels were significantly higher in adolescents who reported having physical disability (p < 0.001, Cohen’s d = 0.40), suffering from chronic illnesses (p < 0.001, Cohen’s d = 0.40), impairments associated to health conditions (p < 0.001, Cohen’s d = 0.61), or reported poor to very poor self-rated health (p < 0.001, Cohen’s d = 1.11). Mediational analyses revealed no direct effect of having a chronic illness/physical disability on subjective well-being, but the indirect effects through higher levels of anxiety were significant. Functional impairment related to health conditions was both directly and indirectly (through higher levels of anxiety) associated with lower well-being. The co-occurrence of anxiety and physical disorders may confer a greater level of disability and lower levels of subjective well-being. Clinicians have to screen anxiety, even in a subthreshold level in patients with choric physical illness or with medically unexplained physical symptoms.",anxiety; physical morbidity; self-rated heath; comorbidity; categorical diagnostic model; dimensional diagnostic model; adolescent; SEYLE,pdfTeX-1.40.18,LaTeX with hyperref package,D:20180809155521+08'00'
7,pdfs/ijerph-13-00195.pdf,The Impact of Knowledge of Suicide Prevention and Work Experience among Clinical Staff on Attitudes towards Working with Suicidal Patients and Suicide Prevention,5580,50,12,"Inga-Lill Ramberg, Maria Anna Di Lucca and Gergö Hadlaczky","Suicide-preventive training has shown to influence attitudes. This study aimed at investigating what impact other factors than knowledge might have on attitudes towards work with suicidal patients and suicide prevention. In 2007, 500 health-care staff working in a psychiatric clinic in Stockholm received a questionnaire with items concerning work with suicidal patients to which 358 (71.6%) responded. A set of attitude items were tested using structural equation modelling (LISREL). Three models were found to be satisfactory valid and reliable: Job clarity, Job confidence and Attitudes towards prevention. These were then used in regression analyses as dependent variables with predictors such as experience of work with suicidal patients, perceived sufficient training, age and gender. Perceived sufficient training was consistently the most important predictor for all three attitude concepts (p < 0.01,  = 0.559 for Job clarity; p < 0.01,  = 0.53 for Job confidence; p < 0.01,  = 0.191 for Attitudes towards prevention). Age was another significant predictor for Job clarity (p < 0.05,  = 0.134), as was experience of patient suicide for Job confidence (p < 0.05,  = 0.137). It is concluded that providing suicide preventive education is likely to improve attitudes towards the prevention of suicide, clarity and confidence regarding their role in the care for suicidal patients. These improvements may contribute to the prevention of suicide in health care settings.",suicide prevention; attitudes; training; psychiatric staff; job clarity; job confidence; LISREL; regression,pdfTeX-1.40.15,LaTeX with hyperref package,D:20160204160408+08'00'
8,pdfs/s12888-020-02494-3.pdf,,7106,58,10,,,,Acrobat Distiller 10.0.0 (Windows); modified using iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version),Arbortext Advanced Print Publisher 9.1.440/W Unicode,D:20200226014332+08'00'
9,pdfs/AJPH.2014.302129.pdf,AJPH20139106_Monarrez-Espino 11..30,10910,101,20,,,,Acrobat Distiller 10.1.8 (Windows),Arbortext Advanced Print Publisher 9.1.510/W Unicode,D:20140820181512+05'30'
